GameID,Season,Date,Playoffs,Team,Opp,Coach,Location,HackedPlayerID,HackedFTRate,StartQ,StartTime,StartMargin,PlayerRemoved,PlayerRestTime,EndQ,EndTime,EndMargin,NumPoss,FTM,FTA,ReturnMargin,2ndChancePts,Win
21500401,15,2015-12-19 00:00:00,0,HOU,LAC,"('Bickerstaff', 'J.B.')",1,2746,0.595,3,0:34,12,0,0,3,0:26,12,1,2,2,inf,0,1
21500401,15,2015-12-19 00:00:00,0,LAC,HOU,"('Rivers', 'Doc')",-1,202700,0.642,4,6:54,-17,0,0,4,6:22,-22,1,2,2,inf,0,0
21500401,15,2015-12-19 00:00:00,0,LAC,HOU,"('Rivers', 'Doc')",-1,201976,0.682,4,2:42,-14,0,0,4,2:12,-12,1,0,2,inf,0,0
21500418,15,2015-12-21 00:00:00,0,OKC,LAC,"('Donovan', 'Billy')",-1,201599,0.43,2,0:20,-3,1,6,2,0:06,-3,1,1,2,-2,0,1
21500421,15,2015-12-22 00:00:00,0,DAL,TOR,"('Carlisle', 'Rick')",-1,203512,0.533,3,0:28,-4,0,0,3,0:00,-5,1,1,2,inf,0,0
21500429,15,2015-12-23 00:00:00,0,ATL,DET,"('Budenholzer', 'Mike')",1,203083,0.355,1,2:10,-3,1,82,1,1:22,-1,2,3,6,1,0,1
21500429,15,2015-12-23 00:00:00,0,ATL,DET,"('Budenholzer', 'Mike')",1,203083,0.355,2,8:33,1,0,0,2,8:00,1,1,0,2,inf,0,1
21500429,15,2015-12-23 00:00:00,0,ATL,DET,"('Budenholzer', 'Mike')",1,203083,0.355,2,7:04,2,0,0,2,6:41,1,1,1,2,inf,0,1
21500429,15,2015-12-23 00:00:00,0,ATL,DET,"('Budenholzer', 'Mike')",1,203083,0.355,3,2:39,16,1,144,3,2:24,17,1,0,2,15,0,1
21500439,15,2015-12-25 00:00:00,0,SAS,HOU,"('Popovich', 'Gregg')",-1,2730,0.489,4,3:13,-7,0,0,4,2:46,-9,1,2,2,inf,0,0
21500439,15,2015-12-25 00:00:00,0,SAS,HOU,"('Popovich', 'Gregg')",-1,2730,0.489,4,2:29,-7,0,0,4,1:44,-5,2,0,5,inf,0,0
21500446,15,2015-12-26 00:00:00,0,BOS,DET,"('Stevens', 'Brad')",-1,203083,0.355,1,2:23,3,0,0,1,1:59,1,1,2,2,inf,0,1
21500446,15,2015-12-26 00:00:00,0,BOS,DET,"('Stevens', 'Brad')",-1,203083,0.355,2,1:19,5,1,62,2,1:02,7,1,0,2,5,0,1
21500456,15,2015-12-27 00:00:00,0,DEN,OKC,"('Malone', 'Mike')",-1,203500,0.582,4,1:18,-8,0,0,4,0:46,-12,1,2,2,inf,0,0
21500461,15,2015-12-28 00:00:00,0,WAS,LAC,"('Wittman', 'Randy')",1,201599,0.43,2,0:13,-14,0,0,3,11:47,-13,1,2,2,inf,0,0
21500470,15,2015-12-29 00:00:00,0,ATL,HOU,"('Budenholzer', 'Mike')",-1,203991,0.379,4,3:57,0,0,0,4,3:17,1,1,1,2,inf,0,1
21500470,15,2015-12-29 00:00:00,0,ATL,HOU,"('Budenholzer', 'Mike')",-1,203991,0.379,4,3:00,2,1,17,4,2:21,1,0,1,2,1,0,1
21500470,15,2015-12-29 00:00:00,0,ATL,HOU,"('Budenholzer', 'Mike')",-1,2730,0.489,4,2:19,2,0,0,4,1:44,-1,2,3,4,inf,0,1
21500473,15,2015-12-29 00:00:00,0,DEN,CLE,"('Malone', 'Mike')",1,2747,0.634,3,4:48,-10,0,0,3,4:19,-12,1,2,2,inf,0,0
21500473,15,2015-12-29 00:00:00,0,DEN,CLE,"('Malone', 'Mike')",1,202684,0.616,4,3:07,-11,1,27,4,2:23,-9,2,1,4,-1,0,0
21500486,15,2015-12-31 00:00:00,0,MIN,DET,"('Mitchell', 'Sam')",-1,203083,0.355,3,2:06,-12,1,116,3,1:56,-12,0,0,2,-8,0,0
21500498,15,2016-01-02 00:00:00,0,IND,DET,"('Vogel', 'Frank')",1,203083,0.355,3,0:12,7,0,0,3,0:04,5,1,0,2,inf,0,1
21500502,15,2016-01-02 00:00:00,0,SAS,HOU,"('Popovich', 'Gregg')",1,201976,0.682,4,2:07,19,0,0,4,1:46,20,1,1,2,inf,0,1
21500505,15,2016-01-02 00:00:00,0,PHI,LAC,"('Brown', 'Brett')",-1,201599,0.43,2,5:16,-6,0,0,2,4:46,-10,1,2,2,inf,0,0
21500505,15,2016-01-02 00:00:00,0,PHI,LAC,"('Brown', 'Brett')",-1,201599,0.43,2,4:39,-7,0,0,2,4:10,-8,1,1,2,inf,0,0
21500510,15,2016-01-03 00:00:00,0,PHX,LAL,"('Hornacek', 'Jeff')",-1,1626204,0.681,4,1:20,-16,0,0,4,0:44,-17,1,1,2,inf,0,0
21500514,15,2016-01-04 00:00:00,0,ORL,DET,"('Skiles', 'Scott')",-1,203083,0.355,2,0:41,-9,1,23,2,0:23,-10,1,1,2,-10,0,0
21500517,15,2016-01-04 00:00:00,0,OKC,SAC,"('Donovan', 'Billy')",1,200765,0.58,4,2:24,-11,0,0,4,1:50,-9,1,0,2,inf,0,0
21500528,15,2016-01-06 00:00:00,0,BOS,DET,"('Stevens', 'Brad')",1,203083,0.355,3,5:45,11,1,307,3,5:07,12,1,0,2,9,0,0
21500538,15,2016-01-07 00:00:00,0,UTA,HOU,"('Snyder', 'Quin')",-1,1626149,0.522,3,0:16,-5,0,0,4,11:47,-8,1,1,2,inf,0,0
21500542,15,2016-01-08 00:00:00,0,DEN,MEM,"('Malone', 'Mike')",-1,2754,0.652,4,0:57,-7,1,17,4,0:52,-7,1,1,2,1,0,0
21500548,15,2016-01-08 00:00:00,0,POR,GSW,"('Stotts', 'Terry')",1,101106,0.48,2,4:03,-14,1,237,2,3:57,-15,0,1,2,-22,0,0
21500558,15,2016-01-10 00:00:00,0,NOP,LAC,"('Gentry', 'Alvin')",-1,201601,0.526,5,0:20,-3,1,0,5,0:10,-3,1,1,2,1,0,0
21500564,15,2016-01-10 00:00:00,0,POR,OKC,"('Stotts', 'Terry')",1,203500,0.582,4,2:08,-3,1,119,4,2:00,-1,1,1,2,-1,0,1
21500572,15,2016-01-12 00:00:00,0,MEM,HOU,"('Joerger', 'David')",1,2730,0.489,4,2:50,-12,0,0,4,1:56,-14,2,4,4,inf,0,0
21500575,15,2016-01-12 00:00:00,0,CLE,DAL,"('Blatt', 'David')",-1,201580,0.5,3,0:27,-5,0,0,3,0:00,-5,1,2,2,inf,0,1
21500581,15,2016-01-13 00:00:00,0,MIN,HOU,"('Mitchell', 'Sam')",-1,203991,0.379,4,6:51,0,1,392,4,6:32,-1,1,1,2,-3,0,0
21500581,15,2016-01-13 00:00:00,0,MIN,HOU,"('Mitchell', 'Sam')",-1,2730,0.489,4,2:27,-2,0,0,4,2:12,-3,0,1,2,inf,0,0
21500582,15,2016-01-13 00:00:00,0,DAL,OKC,"('Carlisle', 'Rick')",-1,203500,0.582,2,1:01,-23,0,0,2,0:17,-22,2,1,2,inf,0,0
21500599,15,2016-01-15 00:00:00,0,ATL,MIL,"('Budenholzer', 'Mike')",-1,203089,0.59,4,3:35,3,0,0,4,3:10,0,1,1,2,inf,0,0
21500601,15,2016-01-15 00:00:00,0,CLE,HOU,"('Blatt', 'David')",-1,2730,0.489,3,0:08,19,0,0,4,11:46,17,0,2,2,inf,0,1
21500624,15,2016-01-18 00:00:00,0,HOU,LAC,"('Bickerstaff', 'J.B.')",-1,201599,0.43,2,2:17,-9,0,0,2,1:30,-7,1,1,2,inf,0,0
21500624,15,2016-01-18 00:00:00,0,LAC,HOU,"('Rivers', 'Doc')",1,2730,0.489,2,0:26,9,0,0,3,11:25,10,2,2,2,inf,0,1
21500624,15,2016-01-18 00:00:00,0,HOU,LAC,"('Bickerstaff', 'J.B.')",-1,201599,0.43,3,2:54,-14,0,0,3,2:32,-15,1,1,2,inf,0,0
21500624,15,2016-01-18 00:00:00,0,HOU,LAC,"('Bickerstaff', 'J.B.')",-1,201599,0.43,3,2:14,-12,0,0,3,1:23,-14,1,2,4,inf,0,0
21500635,15,2016-01-20 00:00:00,0,HOU,DET,"('Bickerstaff', 'J.B.')",1,203083,0.355,2,4:03,-4,1,233,2,3:53,-5,0,1,4,-9,0,0
21500635,15,2016-01-20 00:00:00,0,HOU,DET,"('Bickerstaff', 'J.B.')",1,203083,0.355,3,11:51,-9,1,562,3,9:22,-1,7,5,16,-6,0,0
21500635,15,2016-01-20 00:00:00,0,HOU,DET,"('Bickerstaff', 'J.B.')",1,203083,0.355,4,7:36,-11,0,0,4,6:45,-15,3,4,6,inf,0,0
21500635,15,2016-01-20 00:00:00,0,HOU,DET,"('Bickerstaff', 'J.B.')",1,203083,0.355,4,5:55,-13,1,332,4,5:32,-13,1,0,4,-9,0,0
21500661,15,2016-01-23 00:00:00,0,DEN,DET,"('Malone', 'Mike')",1,203083,0.355,2,2:25,-14,0,0,2,2:15,-14,0,0,2,inf,0,1
21500666,15,2016-01-24 00:00:00,0,TOR,LAC,"('Casey', 'Dwane')",1,201599,0.43,3,3:03,9,0,0,3,2:40,8,1,1,2,inf,0,1
21500673,15,2016-01-25 00:00:00,0,UTA,DET,"('Snyder', 'Quin')",1,203083,0.355,3,0:54,-8,0,0,3,0:28,-9,1,1,2,inf,0,0
21500682,15,2016-01-26 00:00:00,0,SAC,POR,"('Karl', 'George')",-1,202334,0.559,3,0:17,-12,0,0,4,11:16,-14,1,2,2,inf,0,0
21500685,15,2016-01-27 00:00:00,0,DEN,BOS,"('Malone', 'Mike')",-1,101161,0.57,4,2:03,-12,1,122,4,2:02,-12,1,1,2,-8,0,0
