,DISPLAY_LAST_COMMA_FIRST,TEAM_CITY,GAMES_PLAYED_FLAG,TEAM_CODE,TO_YEAR,TEAM_NAME,PLAYERCODE,DISPLAY_FIRST_LAST,PERSON_ID,FROM_YEAR,TEAM_ABBREVIATION,ROSTERSTATUS,FT_RATE15,FT_RATE14,FT_RATE13
162,"Daye, Austin",Atlanta,Y,hawks,2014,Hawks,austin_daye,Austin Daye,201948,2009,ATL,1,-1,1,0.667
163,"De Colo, Nando",Toronto,Y,raptors,2013,Raptors,nando_de_colo,Nando De Colo,201986,2012,TOR,1,-1,-1,0.818
164,"Dedmon, Dewayne",Orlando,Y,magic,2016,Magic,dewayne_dedmon,Dewayne Dedmon,203473,2013,ORL,1,0.75,0.531,0.5
165,"Dejean-Jones, Bryce",,Y,,2015,,bryce_dejean-jones,Bryce Dejean-Jones,1626214,2015,,0,0.524,-1,-1
166,"Dekker, Sam",Houston,Y,rockets,2016,Rockets,sam_dekker,Sam Dekker,1626155,2015,HOU,1,0,-1,-1
167,"Delfino, Carlos",Milwaukee,Y,bucks,2013,Bucks,carlos_delfino,Carlos Delfino,2568,2004,MIL,1,-1,-1,-1
168,"Dellavedova, Matthew",Cleveland,Y,cavaliers,2016,Cavaliers,matthew_dellavedova,Matthew Dellavedova,203521,2013,CLE,1,0.864,0.763,0.792
169,"Deng, Luol",Miami,Y,heat,2016,Heat,luol_deng,Luol Deng,2736,2004,MIA,1,0.755,0.761,0.815
170,"DeRozan, DeMar",Toronto,Y,raptors,2016,Raptors,demar_derozan,DeMar DeRozan,201942,2009,TOR,1,0.85,0.832,0.824
171,"Diaw, Boris",San Antonio,Y,spurs,2016,Spurs,boris_diaw,Boris Diaw,2564,2003,SAS,1,0.737,0.774,0.739
172,"Dieng, Gorgui",Minnesota,Y,timberwolves,2016,Timberwolves,gorgui_dieng,Gorgui Dieng,203476,2013,MIN,1,0.827,0.783,0.634
173,"Dinwiddie, Spencer",Chicago,Y,bulls,2016,Bulls,spencer_dinwiddie,Spencer Dinwiddie,203915,2014,CHI,1,0.576,0.912,-1
174,"Dinwiddie, Spencer",Detroit,Y,pistons,2016,Pistons,spencer_dinwiddie,Spencer Dinwiddie,203915,2014,DET,1,0.576,0.912,-1
175,"Dorsey, Joey",Houston,Y,rockets,2014,Rockets,joey_dorsey,Joey Dorsey,201595,2008,HOU,1,-1,0.289,-1
176,"Douglas-Roberts, Chris",Charlotte,Y,hornets,2014,Bobcats,chris_douglas-roberts,Chris Douglas-Roberts,201604,2008,CHA,1,-1,1,0.805
177,"Douglas-Roberts, Chris",,Y,,2014,,chris_douglas-roberts,Chris Douglas-Roberts,201604,2008,,0,-1,1,0.805
178,"Douglas, Toney",New Orleans,Y,pelicans,2015,Pelicans,toney_douglas,Toney Douglas,201962,2009,NOP,1,0.848,0.615,0.625
179,"Dragic, Goran",Miami,Y,heat,2016,Heat,goran_dragic,Goran Dragic,201609,2008,MIA,1,0.727,0.746,0.76
180,"Dragic, Zoran",Miami,Y,heat,2014,Heat,zoran_dragic,Zoran Dragic,204054,2014,MIA,1,-1,0.667,-1
181,"Drew, Larry",,Y,,2014,,larry_drew,Larry Drew,203580,2014,,0,-1,0.667,-1
182,"Drummond, Andre",Detroit,Y,pistons,2016,Pistons,andre_drummond,Andre Drummond,203083,2012,DET,1,0.355,0.389,0.418
183,"Dudley, Jared",Washington,Y,wizards,2016,Wizards,jared_dudley,Jared Dudley,201162,2007,WAS,1,0.735,0.716,0.655
184,"Dukan, Duje",Sacramento,Y,kings,2015,Kings,duje_dukan,Duje Dukan,1626251,2015,SAC,1,0,-1,-1
185,"Duncan, Tim",San Antonio,Y,spurs,2015,Spurs,tim_duncan,Tim Duncan,1495,1997,SAS,1,0.702,0.74,0.731
186,"Dunleavy, Mike",Chicago,Y,bulls,2016,Bulls,mike_dunleavy,Mike Dunleavy,2399,2002,CHI,1,0.784,0.805,0.854
